,Review,Clustering_id
0,宣传的书本厚度严重缩水!!,59
1,很好！孩子喜欢！大赞一个,17
2,很好,2
3,首先，快递师傅的工作热情和态度很好，其次东西包装完好。先给好评。不错。,35
4,一本字典大小，买来当作参考书用，喜欢。随时查。有些东西书店买不到，网上可以买到。希望自己能用的着。工作路还长，一切希望能走的更远，更好。2017，加油。,60
5,方便携带，平时翻翻，随时学习。,91
6,不错，书店找不到，还是网店方便，好好学习天天向上,11
7,很好啊，质量很好，上班几年了，有空时多学习一下！,63
8,封皮颜色看起来怪怪的，喜欢原有的第七版的设计,71
9,像字典那么大，内容比较全面。,62
10,剛收到，小哥送貨快，挺滿意的，,47
11,物流很快，正品行货，满意！,63
12,京东物流太速度了，买这本书就是因为小，带着方便,38
13,打包一看封面掉漆，沾贴不正，象不是正规厂家出版的，内容有待确认。,8
14,双11在京东给宝宝买了太多的书，满减过后的价格非常美丽，印刷的质量也很好，小家伙现在每晚都要一个故事才肯乖乖睡觉。,24
15,东西好的没话说，下次还买，一如既往的支持东西好的没话说，下次还买，一如既往的支持东西好的没话说，下次还买，一如既往的支持,36
16,给娃囤的，6个月娃只会啃，没有什么耐心听故事，长牙阶段太闹腾。,1
17,内容经典，娃爱不释手，要讲好多遍，活动期购买超级划算,62
18,京东活动真多啊，又买了好多好多，绘本不嫌多。,1
19,金羽毛这系列书都不错，适合大一点的小朋友，先买来收藏着，搞活动买也十分优惠，包装的很好！,24
20,jd的书一两个月就要购入很多本绘本选择很多,65
21,给小孩买的陪着小孩一起阅读希望他也爱上读书,65
22,还不错吧，值得购买。。。。。。。。。,49
23,商品符合预期，京东物流给力。,63
24,好书替象棋大师买的信任京东就是快,53
25,很不错适合孩子上小学前放假使用,39
26,非常好，很适合用，下次再来，很有建设性，希望大卖？,39
27,一直在京东买东西的，很不错,0
28,京东速度就是快，小朋友可以练起来了。,70
29,挺好的书，很多人建议这本书呦,77
30,小朋友很喜欢,75
31,推荐好书,21
32,不错,7
33,书不错，值得一看。,77
34,618活动全场200-100，还是挺划算的，帮同事买的书。,13
35,此用户未填写评价内容,6
36,"一本好书。宝贝已经收到了，真的是物有所值非常的满意。卖家的服务态度很好发货速度也很快，包裹的严严实实没有任何破损。快递小哥送货速度快，总体来说是一次愉快的购物呀，下次有需要还会再来买买买！与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。",87
37,塑封包装，商品完好。看纸质印刷，应该是正版。内容实用，值得购买。,27
38,这本书涉及实体建模、线性精力分析、接触分析、弹塑性分析、热应力分析、多体分析、动态分析等，既适合ABAQUS初学者和中级用户，也为ABAQUS高级用户提供了有用的参考,15
39,没有光盘和数据文件，可操作性不好,96
40,作者通过自己的劳动，让我们这些初入门的软件用户可以更方便直接的了解和掌握abaqus的详细设置，争取把全套集齐～,15
41,有参考价值。翻译的比较生硬。,22
42,不错呢，有光盘供学习的。,40
43,东西还不错，唯一的遗憾不是彩印的！双十二物流有点慢，可以理解。,47
44,我每个月林林总总要买很多东西，如果逐一评价我会很崩溃，所以特别制作一下模版，当你看到这段话的时候，说明我对此产品很是满意，后来者可以放心大胆的购买，当然我并非一个不负责任的买家，如果产品不好，我也会花一番功夫来好好评论番的！,18
45,"宝贝已经收到了，真的是物有所值非常的满意。卖家的服务态度很好发货速度也很快，包裹的严严实实没有任何破损。快递小哥送货速度快，总体来说是一次愉快的购物呀，下次有需要还会再来买买买！与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。",73
46,在听钟老师烦闷的时候用段老师激情的声音解解闷还是可以的,83
47,单位集体下单购买，100多本书，第二天就到了，没有错误，很好很方便,16
48,单位集体下单购买，100多本书，第二天就到了，没有错误，很好很方便,16
49,单位集体下单购买，100多本书，第二天就到了，没有错误，很好很方便,16
50,单位集体下单购买，100多本书，第二天就到了，没有错误，很好很方便,16
51,相信高甲，希望物有所值吧，包装都快散架了，快递速度还行，西安仓发出的，不过同一单下的，北京来的快递比书还快一天，但是比普通快递快多了，辛苦快递员了,47
52,京东服务好，购物方便，书正在用着，很好实用，满意。,38
53,京东服务好，购物方便，书正在用着，很好实用，满意。,38
54,真的很有用，不仅是司法考试，对公务员考试也很有帮助,19
55,真题解析。。。不知道哪个刑诉老师解析最好，希望物有所值吧，包装都快散架了，盒子都破了，快递速度还行，西安仓发出的，不过同一单下的，北京来的快递比书还快一天，但是比普通快递快多了，辛苦快递员了,11
56,特别好，很详细，推荐购买！,14
57,16年1版1印，书就是个噱头，跟李大师估计没啥关系，所谓的6666套限量就是个玩笑。节选本没啥意思，还是买中华书局的全本研读吧。,76
58,书很好，价格也实惠，而且选材独特，与一般选本并不重合。购书只选京东,76
59,正版图书，折扣价格合理。,62
60,还可以。发货很快。好评,35
61,东西很好，十分的喜欢,14
62,配送还可以，书质量好，大概翻了下，是自己想要的!,27
63,商品质量好，正品保障，配送特别快，服务态度也很好！,63
64,不错，看起来是正版，满意,32
65,不必要买的书，与李敖木有关系好不好,34
66,剛剛開始看，但是看著還不錯，慢慢閱讀，期待更好,40
67,暑期图书各种活动，捡大便宜了！？京东搞活动开心伤钱包啊！！！,53
68,总是要买的，京东是个理想选择！,36
69,红红火火恍恍惚惚呵呵哈哈哈,28
70,质优价廉，非常满意，好评,14
71,不错，质量好，非常满意,63
72,一直喜欢有视频的书,21
73,提前为新学期做好准备，假期可以自学一下，印刷质量和内容都不错。,11
74,非常满意,89
75,不错不错，书挺好的啊！！！,10
76,看着包装就不错，物流更是一如既往的好!,63
77,印刷纸张都很满意，希望宝宝能喜欢,30
78,非常感谢京东商城给予的优质的服务，从仓储管理、物流配送等各方面都是做的非常好的。送货及时，配送员也非常的热情，有时候不方便收件的时候，也安排时间另行配送。同时京东商城在售后管理上也非常好的，以解客户忧患，排除万难。给予我们非常好的购物体验。,18
79,可能是比较抢手的书，需要从外地调，所以快递慢了一点。,8
80,太贵了，我还以为典藏版是精装的，结果不是，那为什么叫典藏版呢？平装的，定价太可怕了,80
81,在京东买了很多书，囤起来慢慢读。,64
82,还可以，还可以，还可以！,37
83,不错的东西啊,89
84,书不是全本，节选的人物传记。阅读没有障碍，排版可以，纸张一般。总体评价四星半，给个五星。,22
85,让孩子复习用的，比书店便宜，主要是，物流给力，快递快递员服务好。,51
86,让孩子复习用的，比书店便宜，主要是，物流给力，快递快递员服务好。,51
87,不错，备课用，案例挺长的，全是比较新鲜，晒个目录,11
88,呃，还是一样的套路，建议买教学案例那本,33
89,书编写很好，方便查询，还包括大事记，开阔视野,3
90,第一次上《思想道德修养与法律基础》课，买回来参考一下，内容很有启发，不错的一本参考书。只不过平台让报税号，开得还是老式发票，这下报销困难了，希望尽快改进。,44
91,书的质感不错，配套使用，京东自营送货就是快，每次着急用什么第一时间就选择京东自营，从未失望！,38
92,书非常不错，东西多又好玩，一切都不错。,22
93,备课用，案例较新，有参考价值。,19
94,书很好非常有用，可以好好备课用了！,85
95,买来备课用，案例还挺新挺实用的。,19
96,给讲的课程不一样,33
97,此用户未填写评价内容,6
98,好的,2
99,初中要求的必读书，希望阅读给孩子带来知识和快乐。,95
100,孩子非常喜欢看三毛。信任京东。目前家里的所有用品几乎都在京东购买，物流还有质量保证，以及售后都是我选择的原因。本来药品是最谨慎的，但是信任京东，相信京东也希望一直将正品坚持到底，严格把关，这是长久发展之关键。加油，京东！！！,18
101,先买了一本《三毛流浪记》，孩子看得很好，我也跟着重温儿时快乐。他发现封底还有这四本的介绍，想买来看，支持，立刻下单。哈，京东飞速送达，孩子开心极了。,1
102,书是好书，要是能再便宜点就好了，一直在京东买东西，质量有保障，物流快，最重要的是售后好。,38
103,一套棒棒哒??????????,59
104,孩子们特别喜欢的一套书。百看不厌，值得推荐,85
105,每年京东618活动都是那么的给力，尤其是购买图书绘本，买满400实际付款100超超超值!!!无论是老大的拼音故事书，DK系列，还是老二钟爱的各种绘本，不乘机多屯一些都说不过去,53
106,此用户未填写评价内容,6
107,都在京东购书，发货速度，隔天就到，书都是正版，质量很好，内容很丰富，小孩子很喜欢看，好评。,38
108,书质量非常好，非常喜欢，性价比超高，非常满意，儿子非常喜欢看三毛，买了一本又一本，一不小心整套都买齐了，非常满意书的插图都是彩色的，非常棒，比看动画片强大多了，非常满意，非常喜欢的小人书，非常满意性价比，非常喜欢非常好看！！！,54
109,家里的小朋友刚读完一年级，三毛这本书上有拼音，孩子基本都能读懂的！很适合这个年纪的小朋友阅读，强力推荐这本书，孩子非常喜欢！,24
110,预习用非常好，群里推荐的。,11
111,非常不错的图书，值得购买,61
112,买了1-84，又得一本一本的收了。,4
113,从小看到大~超级喜欢柯南~质量不错，满100减50买的，划算.............,65
114,有包装的精致一些，单独买就不敢恭维了,45
115,这是一定一定要买的，不用说，另外整个快递和装帧还是很棒的，虽然图书节，但是物流依旧那么快，赞一个,27
116,质量一般般，随便看看还是可以滴，收藏留算了,39
117,之前买了一箱子，到84，现在凑到了90，粉开心,70
118,超级满意，之前在某宝补了空缺的，这次无意间看到了京东有活动，立马补齐后面的！很满意！过塑包装！棒棒哒！,0
119,书还可以，然后一直很喜欢柯南，没想到京东上也有卖的真的很方便,38
120,书依然很好，包装依然只用塑料袋装…,21
121,"很不错,喜欢boxset,现在工作忙了,经常忘了一本一本买,这样超级方便`",24
122,昨天下单书本已收到，物有所值,38
123,很不错的书。,77
124,一直信赖京东自营店。,36
125,一直信赖京东自营店。,36
126,正版货，字迹很清楚，京东好棒！,0
127,帮朋友买的，速度很快，赞一个！,63
128,不错！赞一个！小孩很喜欢！再赞一个！下次还买它！,14
129,不错，书本责量蛮好的，无气味，物有所值,27
130,非常好，京东快递就是棒！全部5星！,35
131,挺好的，就是包装上有一些损坏,8
132,评价订单,82
133,针对新课标的辅导书籍，出版得非常及时！,3
134,还好的，小孩比较喜欢。好评。,14
135,"东西很好,喜欢因为本仙女很懒,不想每一件商品都一样一样地去写好评,所以特意写了****评论。但是这件商品无论是质量、材质还是款式,肯定都是本仙女所中意的,最后当然不可能忘了给这件商品一个好评,给宝宝们一个购物参考,这个产品还是非常值得购买的!",18
136,一诺千金，读音yínuòqiānjīn。是汉语成语，意思是指许下的一个诺言有千金的价值。比喻说话算数，极有信用。也叫千金一诺。出自《史记·季布栾布列传》。,67
137,书的质量很好不错哦，值得大家购买！很适合男孩子看的哦！很棒！！孩子很喜欢，加油！,54
138,京东的书真的是很不错书到的速度非常的快不说。书的包装我很满意，最主要的就是书的质量。没有任何的破损,27
139,书本质量很好，孩子特别喜欢看，可以说爱不释手，天天让我给读，以后会经常光顾！,72
140,一般吧，都是老叶，对得起这个价格，建议买高一档的,33
141,吃喝用，现在都来京东！为消费者把关，值得我们信赖！,36
142,男孩喜欢，给朋友孩子买的。99元10本，又用20券。79元10本,1
143,京东的活动，99元十本，买来送给孩子陪他度过假期时光！！！,53
144,好评，速度很快。书包装的也比较好，收货后中没有发现褶皱。,27
145,给小孩买的！还可以！,45
146,拿到手几天了，工作有点忙。。还没看,59
147,还不错，看看再说吧,59
148,有点小用处，没事看看呗。,86
149,这套书的印刷，印作的选择都不甚够精细，前言尚可读。这个价钱确实是太贵了！不相匹配！,76
150,买了一堆书，暑假慢慢看，打对折很便宜！,64
151,VeryGood～,81
152,"非常感谢京东商城给予的优质的服务，从仓储管理、物流配送等各方面都是做的非常好的。送货及时，配送员也非常的热情，有时候不方便收件的时候，也安排时间另行配送。同时京东商城在售后管理上也非常好的，以解客户忧患，排除万难。给予我们非常好的购物体验。ThankyouverymuchfortheexcellentserviceprovidedbyJingdongmall,anditisverygoodtodoinwarehousemanagement,logistics,distributionandsoon.Deliveryinatimelymanner,distributionstaffisalsoveryenthusiastic,andsometimesinconvenienttoreceivethetime,butalsoarrangedfortimetobedelivered.AtthesametimeinthemallmanagementJingdongcustThankyouverymuchfortheexcellentserviceprovidedbyJingdongmall,anditisverygoodtodoinwarehousemanagement,logistics,distributionandsoon.Deliveryinatimelymanner,distributionstaffisalsoveryenthusiastic,andsometimesinconvenienttoreceivethetime,butalsoarrangedfortimetobedelivered.AtthesametimeinthemallmanagementJingdongcust",69
153,挺好玩的一本小书，凑单买的，只是闲来无事翻翻，原先以为图会比较多，但是实际也没有多少图，早知道就买电子书啦。我是100-50买的，原价的话性价比就低了。,1
154,内容很轻松，很好?,62
155,在app上看到好多装修的朋友都会用到这里讲的东西、很多人推荐这本书、不想在网上看、还是买来纸板的有质感、插画风格独特、很喜欢这个风格、看了不会腻,44
156,不错！真心喜欢这本书，收纳真的是个大问题，这本书更适合已经买房子的家庭，不过一些小收纳知识可以活学活用！而且是有插话的，看着也不烦闷，特别易懂！,44
157,书封挺好看的里面就有点简单了都是图内容基本上都是公众号的内容,76
158,很好玩的一本书，轻松做家务。谢谢京东送货师傅的优质服务。,85
159,"非常感谢京东商城给予的优质的服务，从仓储管理、物流配送等各方面都是做的非常好的。送货及时，配送员也非常的热情，有时候不方便收件的时候，也安排时间另行配送。同时京东商城在售后管理上也非常好的，以解客户忧患，排除万难。给予我们非常好的购物体验。ThankyouverymuchfortheexcellentserviceprovidedbyJingdongmall,anditisverygoodtodoinwarehousemanagement,logistics,distributionandsoon.Deliveryinatimelymanner,distributionstaffisalsoveryenthusiastic,andsometimesinconvenienttoreceivethetime,butalsoarrangedfortimetobedelivered.AtthesametimeinthemallmanagementJingdongcustomerserviceisalsoverygood,tosolvecustomersuffering,overcomealldifficulties.Giveusaverygoodshoppingexperience.！",90
160,产品质量不错，赶到搞活动的时候买的，优惠力度比较大，价格挺便宜的，值得推荐。,0
161,没想到双11期间，快递竟然隔天就能收到了。很喜欢这本书，赠送的是真彩的钢笔，一看牌子就觉得质量肯定有所保证，字体、内容都不错！,24
162,本书主要围绕LNG液化工艺及储运工艺中所涉及的主要低温装备，研究开发LNG工艺流程中主要过程控制装备的设计计算技术。,15
163,包装的很好，京东质量值得信赖，一直在京东买东西，放心，而且京东快递只有一个字“块”，嘿嘿！,0
164,图纸很多，表格挺多，参数挺多，质量也可以。,22
165,京东的书还不错，这个是从外地调的，时间也不长！,51
166,看上这款宝贝已经很久了，终于到手了，挑来挑去挑了这家，事实证明我的眼光还是很好的哟，没有让我失望，做工和质量都很好，发货快，物流快,73
167,书收到了，没有什么破损的地方。本人在机械厂上班，天天开50、80的摇臂钻，这几天看了快一半了，有一定的参考价值。,11
168,此用户未填写评价内容,6
169,书是正品，但是不是我想要的！我想要的是钳工实用技术手册，结果下单是装配钳工??,98
170,粗看了一遍，很多内容都是不错的复习内容，毕业几年忘的差不多了,11
171,正版书籍，京东自营就是可信，时不时就有优惠活动，极度好评哦！,13
172,书应该是正版的，纸质量不错，公司职工书屋添置的书籍，希望员工可以多多借阅，发挥书籍的正能量。,24
173,好,81
174,好,81
175,还可以一直京东买杂志方便,21
176,一直京东买杂志还可以方便,53
177,好，很好，给孩子加深记忆，有利于学习。值得购买！,14
178,看起来不错，跟着教材循序渐近，希望对孩子有帮助。,11
179,"非常好的一本书,每学期都买,孩子很喜欢",85
180,实用的工具书，孩子开学必备！！！,58
181,物美价廉，满足使用的要求,89
182,质量可以，不过买错版本了。,8
183,不错,7
184,2本半是标准规范，卖得贵了，不厚道。,80
185,东西非常好，质量正品，相信京东从来没有失望过，快递不用说很给力，比在实体店买的实惠，比在其他地方买的放心而且速度还很快，太棒了相信京东给力极了！,73
186,京东半价买的，很不错，就是编教材的差劲，多一半都是规范，规范还不给条文说明，考试的时候还得带规范原本过去，编委太缺德了！图里面有体现标准规范的厚度。感觉是凑数的，还不如都去掉，书价格便宜点。,11
187,备考吧，现在难度应该增加了吧,60
188,书有几页破损，纸张有点薄,21
189,书很厚实，很重，还没看,22
190,准备考吧，老了看这么多书累。,60
191,书不错，价格尤其好。囤货囤货，还没有过基础考试呢,11
192,东西非常好，质量正品，相信京东从来没有失望过，快递不用说很给力，比在实体店买的实惠，比在其他地方买的放心而且速度还很快，太棒了相信京东给力极了！,73
193,正版书籍，印刷质量不错，用了优惠券，聊胜于无，只是单本用塑料袋包装，边角有点磕坏,8
194,非常不错的书，物流也很快，赞一个?,27
195,还为了绿军烦恼痛苦人可怜我是继续不悱不发内容可类固醇呢呢呢快点解放解放你的康多贾尼福克斯老挝日常居家减肥呢人呢,28
196,信赖京东图书，质量好，物流快，书还没有看，纸张还是挺好的,38
197,给单位买的，应该不错吧,39
198,宝贝很好，速度快！喜欢京东商城！,73
199,物流速度很快，头天下的单第二天就到了。京东牛。,47
200,书不错，还有折扣，好评,99
201,送给孩子的礼物，他们很喜欢！,75
202,非常实用，努力学习,40
203,买买买上京东，速度快，是正品，每次评价有京豆，当我要好评时我就用这个粘贴的，给差评的时候就认真写了！。。。,98
204,此用户未填写评价内容,6
205,。。。。。,49
206,书本崭新，内容全面孩子很满意，我也可以看看提升一下自己的水平????,54
207,字典挺好的，著名的幺建华老师的，都说好，买来试试，祝我能通过吧！,11
208,很好，很不错，希望对考职称有帮助~~！,54
209,外壳上稍稍有一点磨损，总的来说还是不错的，字迹清晰，书本很厚实，内容也全面。好评！,27
210,东西很好，排序非常科学。印刷质量也不错。,30
211,书的质量还是不错的，先屯着备用备用,11
212,内容涵盖很全，职称英语考试中很好用，值得,19
213,希望对我的考试有用。这是经朋友推介的～,78
214,老师指定买的书，字体印刷清晰，是正版。,11
215,嗯、看着还不错，随手翻了哈，应该是正版,8
216,京东优惠价叠券，很划算！轻型纸印刷，厚厚一册却很轻便，举厚若轻，很不错的书！很喜欢！京东快递就不用说了，又快又好!!!,87
217,厄普代克作品：兔子，跑吧，好书再版，质量比之前好，价钱也好,10
218,大名鼎鼎的兔子四部曲终于再版了，定价六十多一本，洛阳纸贵？,4
219,好好学习天天向上，希望京东越来越好。,70
220,值得购买、收藏的书，需要认真阅读。,95
221,好书，很满意，适合收藏的…,99
222,这套书真是太好了，值得反复阅读的佳作,3
223,书的品相很好，快递给力，好评！,27
224,书已收到。屯起来，有空看。,64
225,618活动买，平时把想要的都收藏了，每年都这时候买，优惠券可以叠加使用，太合适，虽然618，送货依旧很快，京东小哥很负责的说今天送的全是书…………,98
226,商品评分5分请至少填写一件商品的评价买家印象一般般吧背面可当镜水流大出水均匀出水量很大出水方式多花洒头大质量好出水顺畅自,0
227,破损,7
228,一直都在京东购物，物流一如既往地快速，货品正版，很满意！！,73
229,下次，关于官员的文章的合集千万别买，没错的～,4
230,此用户未填写评价内容,6
231,这一本超级好！！！！吹爆它作为高一学生我觉得它的答案解析还有翻译都特别准长时间坚持有帮助成绩提高,58
232,希望买自营的东西，一个速度快，二是方便,45
233,书看起来质量不错，希望对自己有所帮助。,11
234,专业角度介绍相关内容，还不不错的,62
235,很好很喜欢希望京东能够多搞一些图书优惠活动推动全民阅读,38
236,非常好的科普书，孩子喜欢，大家都爱看,85
237,好书，包装不错,99
238,还好,7
239,写的不好，多处出现事实性错误。,86
240,注册公司代理记账,82
241,趁着双十一囤的，先放在家里慢慢看！,51
242,趁着双十一囤的，先放在家里慢慢看！,51
243,京东双十一入手的，每满200-100，再用了满300-100的券，价格很实惠；对于区块链这一新兴事物很感兴趣，尤其是未来的发展趋势。希望本书能答疑解惑，将这一新兴事物解释清楚。,15
244,宝贝质量很好，用着很方便。,47
245,构建价值互联网的角度看，区块链的出现意味着从0到1。正因如此，本书章节结构与常见的体例不同，从第0章开始。第0章从文字与货币的起源出发，通过论述人类信息传递和价值传输手段的进步，说明区块链技术诞生的必然性。第1章用深入浅出的语言讲解区块链的本质、运行原理、颠覆性潜力以及区块链技术的现状与未来；第2章宏观讲述了区块链技术带来的新产品和新机遇，包括数字货币、互联网金融、物联网，以及新一代的基础设施；第3章则较为具体地讲述区块链技术在不同行业中可以实现的应用场景；第4章深入讲述了区块链的技术原理；后记部分，作者以对话的形式回答了读者关心的问题：区块链离我们还有多远。,15
246,书很不错由浅入深可读性很强很喜欢这本书让我了解到什么是区块链等读完后再来详细评价。,44
247,"质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物质量很好，希望更多的朋友信赖．店主态度特好，我会再次光顾的．可不可以再便宜点．我带朋友来你家买。不好意思评价晚了，非常好的店家，东西很欢！买来这个是送人的她很喜欢卖家的贴心让我感到很温暖。很热情的卖家，下次还来希望下次还有机会合作祝你生意兴隆质量非常好真出乎我的意料包装非常仔细非常感谢。祝生意兴隆！！",18
248,物美价廉送货快商品赞！甲骨文丛书太经典了，值得购买!,38
249,速度非常快，第二天就收到了，超赞的！！！！,14
250,又快要到一年一度的双十一抢购热潮期啦，京东商城又开始满减大促销，外加各种优惠券，机会难得啊，每天早晚加夜间，只要有时间。就上京东a@各种优惠券，抢抢抢，抢得晕头转向，往购物车里扔扔扔，再凑单，凑凑凑，白天就在家里收快递，门铃响个不停，和新来的快递小哥都快成朋友了，收到东西感觉买的值值值，物有所值。京东物流快递还是一如既往的迅速，值得表扬。快递小哥辛苦啦！谢谢！,18
251,提高孩的学习能力，快递也挺快的，孩子也喜欢,47
252,（2017春）单元双测小学数学三年级下苏教版JSJY,34
253,凑单买的，还不错，送货快,47
254,不错......,2
255,挺好的,89
256,很好,2
257,不错,7
258,很好,2
259,漫画书，还可以。,64
260,书已收到?很是不错非常喜欢！继续支持京东呵呵！,38
261,正版图书，值得购买。,61
262,还不错,89
263,编者是有经验的对外汉语教师，适合现代的课堂教学要求,62
264,挺好的课本,21
265,不错的一本书，值得推荐一读。,77
266,第一次买京东自营的书，物流太给力了，很快，书会慢慢看，觉得不错再来追加,38
267,很好的书，受益匪浅。推荐阅读。,77
268,挤时间，多学习，开拓思维长见识！京东的服务我满意。,70
269,刚到货，随手翻了翻，先看了个序言，观点不错,76
270,商品包装及物流速度都很好很快很给力，文字内容更物有所值！,73
271,熟人看了还是不错的，但是这个金钱与生活嗯，主要是想学一些关于财经方面的一些知识，我操,78
272,凯恩斯的预测失败了?,33
273,一次买了88本，现在京东发卷少了，并且买多不可以累计减，慢慢看。货从北京上海发，广州仓库少货,16
274,在京东买书很方便，正版图书，性价比高！以后还会再买的~,38
275,原本在书城看到这套书不全还贵果断在京东买到纸质厚实色彩艳丽配图生动有趣是每个小朋友都必看的寓言故事,65
276,物流很快，物美价廉，好评吧！,63
277,挺好！快递也快,35
278,这本书虽然薄薄的但是画得很好印刷也不错,99
279,书非常好，快递速度快,27
280,这本书读给儿子听时他都说这人好傻，挺喜欢的,57
281,不错的，，，，，，，，，，，，，，，，，,89
282,还行吧。一般。书被折得真难看。,8
283,第一次在网上给闺女买书本，闺女说字很清晰，没有味道，信任京东，以后还会继续买！,38
284,好评,2
285,迫不及待开封，最近迷上了诗歌，买了很多，这是第二批,4
286,蛮好看的书，趁京东618超级划算的感觉哈哈，感谢强东，感谢章泽天太太.鸡汤书还没快,76
287,书还没看，给个好评先,10
288,不错的，一次买了4本，慢慢看，包装都很好。,99
289,优惠券只能买限定书，不怎么样。优惠券只能买限定书，不怎么样。优惠券只能买限定书，不怎么样。,53
290,非常好！！！！！！！！！！！！,12
291,很实用，还会继续购买,14
292,焦虑不代表努力，写的就是我自己呀，努力学习,60
293,很喜欢这本书，对于刚刚进入社会有很大的帮助，希望能深刻的认识到自己，以后的路也要好好规划，值得拥有、,44
294,还没看呢，给老公买的,1
295,还没开封，留着出差途中慢慢品读,40
296,好书！值得信赖的京东！下次还在京东自营买！好书！值得信赖的京东！下次还在京东自营买！,10
297,《中国画技法.兼工带写画法》是花鸟画的新技法，好！,56
298,很不错，内容丰富，详实，非常好的专业书籍,61
299,618活动买的，用了优惠卷，买了一套，那是相当实惠，还没看，毕竟是讲义，应该不错，可以系统的学习一下中医。,11
300,还可以，，，，，,49
301,快递送的挺及时，书的质量也很好,27
302,very-good------/,2
303,教辅资料一直买京东的，挺好，价格也比书店的便宜。,11
304,印刷质量一般般，这个版本的《菜根谭》白话文翻译加入了译者的个人理解，没有逐字逐句解释，可以和其他的版本相对应地读研。,76
305,虽然我年纪大了，但是还想学学历史，于是就买了这本书。,78
306,很好，应该是正品自营的应该不会假。,47
307,正版图书，包装、快递都很不错，赞。,27
308,这本书的装帧很好，只有五百多页显然不会是史记的全部内容。是选的原著的一小部分。,76
309,学校老师推荐购买的，希望孩子好好看书！！！,54
310,不错，儿子说好看懂。儿子对历史很有兴趣。,57
311,很好看，京东正版，物流快。喜欢。,63
