Query,KNN Review
['宣传的书本厚度严重缩水!!'],['宣传的书本厚度严重缩水!!']
['宣传的书本厚度严重缩水!!'],['包装也是醉了，外包装破损，书上的塑封包也破了！']
['宣传的书本厚度严重缩水!!'],['给孩子买了全套资料，这本连包装都没有打开！']
['宣传的书本厚度严重缩水!!'],['还没来看呢。。。']
['宣传的书本厚度严重缩水!!'],['一套棒棒哒??????????']
['宣传的书本厚度严重缩水!!'],['2本半是标准规范，卖得贵了，不厚道。']
['宣传的书本厚度严重缩水!!'],['买了五本书，唯一一本品相良好的书']
['宣传的书本厚度严重缩水!!'],['这套书的印刷，印作的选择都不甚够精细，前言尚可读。这个价钱确实是太贵了！不相匹配！']
['宣传的书本厚度严重缩水!!'],['这个系列终于出了，一读起就放不下来']
['宣传的书本厚度严重缩水!!'],['包装太差劲啥都不想说了，就一个袋子，新书都成旧的啦']
['宣传的书本厚度严重缩水!!'],['好书！！！很喜欢！！！！！']
['宣传的书本厚度严重缩水!!'],['买了1-84，又得一本一本的收了。']
['宣传的书本厚度严重缩水!!'],['错误有点多?']
['宣传的书本厚度严重缩水!!'],['大名鼎鼎的兔子四部曲终于再版了，定价六十多一本，洛阳纸贵？']
['宣传的书本厚度严重缩水!!'],['又好，又快\n推荐!!\n??']
['宣传的书本厚度严重缩水!!'],['挺不错的！！！']
['宣传的书本厚度严重缩水!!'],['现在的包装都这么残忍啊，还好我这没事']
['宣传的书本厚度严重缩水!!'],['还行吧。一般。书被折得真难看。']
['宣传的书本厚度严重缩水!!'],['这本书有点薄，但是用来上课的，这个课程挂了好多人']
['宣传的书本厚度严重缩水!!'],['不愧是中信出版，必是精品，了解下美国的开国元勋']
['很好！孩子喜欢！大赞一个'],['很好！孩子喜欢！大\n赞一个']
['很好！孩子喜欢！大赞一个'],['不错！赞一个！小孩很喜欢！再赞一个！下次还买它！']
['很好！孩子喜欢！大赞一个'],['不错，很喜欢']
['很好！孩子喜欢！大赞一个'],['不错，很喜欢']
['很好！孩子喜欢！大赞一个'],['不错，很喜欢']
['很好！孩子喜欢！大赞一个'],['很不错，真的很不错啊']
['很好！孩子喜欢！大赞一个'],['不错，一如既往的好！']
['很好！孩子喜欢！大赞一个'],['东西很好，十分的喜欢']
['很好！孩子喜欢！大赞一个'],['孩子很喜欢']
['很好！孩子喜欢！大赞一个'],['孩子很喜欢']
['很好！孩子喜欢！大赞一个'],['不错，一如既往的好']
['很好！孩子喜欢！大赞一个'],['挺好的，比较喜欢']
['很好！孩子喜欢！大赞一个'],['还好的，小孩比较喜欢。好评。']
['很好！孩子喜欢！大赞一个'],['非常好，性价比高，女儿很高兴。']
['很好！孩子喜欢！大赞一个'],['好教辅，孩子很喜欢，点赞。']
['很好！孩子喜欢！大赞一个'],['非常好，每次都很满意']
['很好！孩子喜欢！大赞一个'],['很好，很喜欢，物理很给力！']
['很好！孩子喜欢！大赞一个'],['非常好！送货快！可惜卷过期了，要不肯定多买点……']
['很好！孩子喜欢！大赞一个'],['觉得还是很不错的，挺好的呢。']
['很好！孩子喜欢！大赞一个'],['不错的东西啊']
['很好'],['很好']
['很好'],['很好']
['很好'],['很好']
['很好'],['很好']
['很好'],['很好']
['很好'],['很好呢']
['很好'],['很ok']
['很好'],['好的']
['很好'],['好']
['很好'],['好']
['很好'],['好']
['很好'],['好']
['很好'],['好']
['很好'],['好']
['很好'],['全新的很好']
['很好'],['还不错']
['很好'],['还不错']
['很好'],['不错，好吃']
['很好'],['很好。']
['很好'],['挺好的']
['首先，快递师傅的工作热情和态度很好，其次东西包装完好。先给好评。不错。'],['首先，快递师傅的工作热情和态度很好，其次东西包装完好。先给好评。不错。']
['首先，快递师傅的工作热情和态度很好，其次东西包装完好。先给好评。不错。'],['很快，收到了。不错。']
['首先，快递师傅的工作热情和态度很好，其次东西包装完好。先给好评。不错。'],['商品不错，快递不错，服务不错']
['首先，快递师傅的工作热情和态度很好，其次东西包装完好。先给好评。不错。'],['非常好，京东快递就是棒！全部5星！']
['首先，快递师傅的工作热情和态度很好，其次东西包装完好。先给好评。不错。'],['送货很快，包装的也不错，一如既往的好评，有需要还会再来的。']
['首先，快递师傅的工作热情和态度很好，其次东西包装完好。先给好评。不错。'],['质优价廉，非常满意，好评']
['首先，快递师傅的工作热情和态度很好，其次东西包装完好。先给好评。不错。'],['看着包装就不错，物流更是一如既往的好!']
['首先，快递师傅的工作热情和态度很好，其次东西包装完好。先给好评。不错。'],['还好的，小孩比较喜欢。好评。']
['首先，快递师傅的工作热情和态度很好，其次东西包装完好。先给好评。不错。'],['很精简，很划算的东西。非常满意。']
['首先，快递师傅的工作热情和态度很好，其次东西包装完好。先给好评。不错。'],['超级满意，之前在某宝补了空缺的，这次无意间看到了京东有活动，立马补齐后面的！很满意！过塑包装！棒棒哒！']
['首先，快递师傅的工作热情和态度很好，其次东西包装完好。先给好评。不错。'],['商品质量好，正品保障，配送特别快，服务态度也很好！']
['首先，快递师傅的工作热情和态度很好，其次东西包装完好。先给好评。不错。'],['很好的产品，京东自营让人信赖，值得购买。如有质量问题，退换货十分方便。比实体店要好。']
['首先，快递师傅的工作热情和态度很好，其次东西包装完好。先给好评。不错。'],['非常好，性价比高，女儿很高兴。']
['首先，快递师傅的工作热情和态度很好，其次东西包装完好。先给好评。不错。'],['东西很好，十分的喜欢']
['首先，快递师傅的工作热情和态度很好，其次东西包装完好。先给好评。不错。'],['灰常好，速度快，价格优惠，赞赞赞']
['首先，快递师傅的工作热情和态度很好，其次东西包装完好。先给好评。不错。'],['还可以。发货很快。好评']
['首先，快递师傅的工作热情和态度很好，其次东西包装完好。先给好评。不错。'],['速度快，快递员服务好！东西不错，很满意！']
['首先，快递师傅的工作热情和态度很好，其次东西包装完好。先给好评。不错。'],['很好，速度很快，质检很好，很棒']
['首先，快递师傅的工作热情和态度很好，其次东西包装完好。先给好评。不错。'],['还可以哟，很喜欢，很开心，对得起这个价格值得可以评']
['首先，快递师傅的工作热情和态度很好，其次东西包装完好。先给好评。不错。'],['质量不错，价格便宜，京东送货很快！']
['一本字典大小，买来当作参考书用，喜欢。随时查。有些东西书店买不到，网上可以买到。希望自己能用的着。工作路还长，一切希望能走的更远，更好。2017，加油。'],['一本字典大小，买来当作参考书用，喜欢。随时查。有些东西书店买不到，网上可以买到。希望自己能用的着。工作路还长，一切希望能走的更远，更好。2017，加油。']
['一本字典大小，买来当作参考书用，喜欢。随时查。有些东西书店买不到，网上可以买到。希望自己能用的着。工作路还长，一切希望能走的更远，更好。2017，加油。'],['焦虑不代表努力，写的就是我自己呀，努力学习']
['一本字典大小，买来当作参考书用，喜欢。随时查。有些东西书店买不到，网上可以买到。希望自己能用的着。工作路还长，一切希望能走的更远，更好。2017，加油。'],['准备5月份考试，努力一次通过，加油！']
['一本字典大小，买来当作参考书用，喜欢。随时查。有些东西书店买不到，网上可以买到。希望自己能用的着。工作路还长，一切希望能走的更远，更好。2017，加油。'],['买本书来充实自己。内容很详细。按照步骤来，完全没问题。加油']
['一本字典大小，买来当作参考书用，喜欢。随时查。有些东西书店买不到，网上可以买到。希望自己能用的着。工作路还长，一切希望能走的更远，更好。2017，加油。'],['好好学习天天向上，希望京东越来越好。']
['一本字典大小，买来当作参考书用，喜欢。随时查。有些东西书店买不到，网上可以买到。希望自己能用的着。工作路还长，一切希望能走的更远，更好。2017，加油。'],['准备考吧，老了看这么多书累。']
['一本字典大小，买来当作参考书用，喜欢。随时查。有些东西书店买不到，网上可以买到。希望自己能用的着。工作路还长，一切希望能走的更远，更好。2017，加油。'],['书已收到。屯起来，有空看。']
['一本字典大小，买来当作参考书用，喜欢。随时查。有些东西书店买不到，网上可以买到。希望自己能用的着。工作路还长，一切希望能走的更远，更好。2017，加油。'],['初级会计实务看起来超好，要考证开心开心，祝自己好运。']
['一本字典大小，买来当作参考书用，喜欢。随时查。有些东西书店买不到，网上可以买到。希望自己能用的着。工作路还长，一切希望能走的更远，更好。2017，加油。'],['备考吧，现在难度应该增加了吧']
['一本字典大小，买来当作参考书用，喜欢。随时查。有些东西书店买不到，网上可以买到。希望自己能用的着。工作路还长，一切希望能走的更远，更好。2017，加油。'],['不错，书店找不到，还是网店方便，好好学习天天向上']
['一本字典大小，买来当作参考书用，喜欢。随时查。有些东西书店买不到，网上可以买到。希望自己能用的着。工作路还长，一切希望能走的更远，更好。2017，加油。'],['书本很棒，书本很棒，适合九年级学子使用，符合考试内容，知识的重难点也标得很清楚，仔细。建议学生党购买哦，真的对我们学习有很大的帮助。中考加油哦']
['一本字典大小，买来当作参考书用，喜欢。随时查。有些东西书店买不到，网上可以买到。希望自己能用的着。工作路还长，一切希望能走的更远，更好。2017，加油。'],['字典挺好的，著名的幺建华老师的，都说好，买来试试，祝我能通过吧！']
['一本字典大小，买来当作参考书用，喜欢。随时查。有些东西书店买不到，网上可以买到。希望自己能用的着。工作路还长，一切希望能走的更远，更好。2017，加油。'],['很喜欢，质地柔软，就喜欢这种纸质书，二建过了，一建抓紧时间备考']
['一本字典大小，买来当作参考书用，喜欢。随时查。有些东西书店买不到，网上可以买到。希望自己能用的着。工作路还长，一切希望能走的更远，更好。2017，加油。'],['很喜欢，质地柔软，就喜欢这种纸质书，二建过了，一建抓紧时间备考']
['一本字典大小，买来当作参考书用，喜欢。随时查。有些东西书店买不到，网上可以买到。希望自己能用的着。工作路还长，一切希望能走的更远，更好。2017，加油。'],['很喜欢，质地柔软，就喜欢这种纸质书，二建过了，一建抓紧时间备考']
['一本字典大小，买来当作参考书用，喜欢。随时查。有些东西书店买不到，网上可以买到。希望自己能用的着。工作路还长，一切希望能走的更远，更好。2017，加油。'],['买书给自己充充电，不错！']
['一本字典大小，买来当作参考书用，喜欢。随时查。有些东西书店买不到，网上可以买到。希望自己能用的着。工作路还长，一切希望能走的更远，更好。2017，加油。'],['职称考试了参考书，内容丰富，考点，大纲充实，考试必备，希望能过']
['一本字典大小，买来当作参考书用，喜欢。随时查。有些东西书店买不到，网上可以买到。希望自己能用的着。工作路还长，一切希望能走的更远，更好。2017，加油。'],['书不错，价格尤其好。囤货囤货，还没有过基础考试呢']
['一本字典大小，买来当作参考书用，喜欢。随时查。有些东西书店买不到，网上可以买到。希望自己能用的着。工作路还长，一切希望能走的更远，更好。2017，加油。'],['还是很喜欢的啊。比较详细。买了两本。']
['一本字典大小，买来当作参考书用，喜欢。随时查。有些东西书店买不到，网上可以买到。希望自己能用的着。工作路还长，一切希望能走的更远，更好。2017，加油。'],['很喜欢这本书，对于刚刚进入社会有很大的帮助，希望能深刻的认识到自己，以后的路也要好好规划，值得拥有、']
['方便携带，平时翻翻，随时学习。'],['方便携带，平时翻翻，随时学习。']
['方便携带，平时翻翻，随时学习。'],['很好用，里面的小本子很好用']
['方便携带，平时翻翻，随时学习。'],['很不错适合孩子上小学前放假使用']
['方便携带，平时翻翻，随时学习。'],['非常好的书呢，适合初学声乐的小盆友学习使用']
['方便携带，平时翻翻，随时学习。'],['物美价廉，满足使用的要求']
['方便携带，平时翻翻，随时学习。'],['不错呢，有光盘供学习的。']
['方便携带，平时翻翻，随时学习。'],['买来看看啦，老师推荐的']
['方便携带，平时翻翻，随时学习。'],['孩子喜欢，小学生必读，价格合适。']
['方便携带，平时翻翻，随时学习。'],['胶版纸印刷，内容生动有趣，可读性强。大16开，比秘密武器系列大一圈。']
['方便携带，平时翻翻，随时学习。'],['胶版纸印刷，内容生动有趣，可读性强。大16开，比秘密武器系列大一圈。']
['方便携带，平时翻翻，随时学习。'],['购买方便，内容详细']
['方便携带，平时翻翻，随时学习。'],['不错，孩子非常喜欢，可读性好']
['方便携带，平时翻翻，随时学习。'],['专业书籍，特别好用，值得购买']
['方便携带，平时翻翻，随时学习。'],['内容全面，易懂，孩子说对高中学习有帮助。']
['方便携带，平时翻翻，随时学习。'],['非常好的教材。内容丰富多彩，']
['方便携带，平时翻翻，随时学习。'],['书本很厚，内容丰富，价格实惠，孩子喜欢。']
['方便携带，平时翻翻，随时学习。'],['预习用非常好，群里推荐的。']
['方便携带，平时翻翻，随时学习。'],['不错，经典书目。    值得买。']
['方便携带，平时翻翻，随时学习。'],['好，名家绘制，故事性强，值得拥有。']
['方便携带，平时翻翻，随时学习。'],['像字典那么大，内容比较全面。']
['不错，书店找不到，还是网店方便，好好学习天天向上'],['不错，书店找不到，还是网店方便，好好学习天天向上']
['不错，书店找不到，还是网店方便，好好学习天天向上'],['还不错，挺好的。就是找不到总复习的']
['不错，书店找不到，还是网店方便，好好学习天天向上'],['书不错，价格尤其好。囤货囤货，还没有过基础考试呢']
['不错，书店找不到，还是网店方便，好好学习天天向上'],['买书给自己充充电，不错！']
['不错，书店找不到，还是网店方便，好好学习天天向上'],['买到就是赚到，书质量不错，期待学到做到！']
['不错，书店找不到，还是网店方便，好好学习天天向上'],['很喜欢，质地柔软，就喜欢这种纸质书，二建过了，一建抓紧时间备考']
['不错，书店找不到，还是网店方便，好好学习天天向上'],['很喜欢，质地柔软，就喜欢这种纸质书，二建过了，一建抓紧时间备考']
['不错，书店找不到，还是网店方便，好好学习天天向上'],['很喜欢，质地柔软，就喜欢这种纸质书，二建过了，一建抓紧时间备考']
['不错，书店找不到，还是网店方便，好好学习天天向上'],['很不错的书，这类书比较少。']
['不错，书店找不到，还是网店方便，好好学习天天向上'],['不错呢，有光盘供学习的。']
['不错，书店找不到，还是网店方便，好好学习天天向上'],['不错的啊，考点都挺全的，有感觉，买吧！']
['不错，书店找不到，还是网店方便，好好学习天天向上'],['买来看看啦，老师推荐的']
['不错，书店找不到，还是网店方便，好好学习天天向上'],['书不错，还有折扣，好评']
['不错，书店找不到，还是网店方便，好好学习天天向上'],['京东的书还不错，这个是从外地调的，时间也不长！']
['不错，书店找不到，还是网店方便，好好学习天天向上'],['教辅资料一直买京东的，挺好，价格也比书店的便宜。']
['不错，书店找不到，还是网店方便，好好学习天天向上'],['京东这速度不服不行！\n书不错，趁着4月份正式的教材上市前热热身']
['不错，书店找不到，还是网店方便，好好学习天天向上'],['字典挺好的，著名的幺建华老师的，都说好，买来试试，祝我能通过吧！']
['不错，书店找不到，还是网店方便，好好学习天天向上'],['书不错，值得一看。']
['不错，书店找不到，还是网店方便，好好学习天天向上'],['书不错，比我想象的薄。而且新书没有封，不过书没问题！']
['不错，书店找不到，还是网店方便，好好学习天天向上'],['书收到了，感觉内容丰富，希望一次过关，非常好，比书店便宜']
['很好啊，质量很好，上班几年了，有空时多学习一下！'],['很好啊，质量很好，上班几年了，有空时多学习一下！']
['很好啊，质量很好，上班几年了，有空时多学习一下！'],['质量不错，价格便宜，京东送货很快！']
['很好啊，质量很好，上班几年了，有空时多学习一下！'],['收到货了，速度很快，质量很好，赞一个！']
['很好啊，质量很好，上班几年了，有空时多学习一下！'],['送货很快，包装的也不错，一如既往的好评，有需要还会再来的。']
['很好啊，质量很好，上班几年了，有空时多学习一下！'],['非常好的东西，下次还会买的！']
['很好啊，质量很好，上班几年了，有空时多学习一下！'],['不错，质量好，非常满意']
['很好啊，质量很好，上班几年了，有空时多学习一下！'],['综合基础知识，质量很好，京东做的也很好，赞一个']
['很好啊，质量很好，上班几年了，有空时多学习一下！'],['收到啦！质量很好']
['很好啊，质量很好，上班几年了，有空时多学习一下！'],['特别好，很详细，推荐购买！']
['很好啊，质量很好，上班几年了，有空时多学习一下！'],['商品质量好，正品保障，配送特别快，服务态度也很好！']
['很好啊，质量很好，上班几年了，有空时多学习一下！'],['送货挺快的 ，质量也挺不错']
['很好啊，质量很好，上班几年了，有空时多学习一下！'],['灰常好，速度快，价格优惠，赞赞赞']
['很好啊，质量很好，上班几年了，有空时多学习一下！'],['挺好的，送货很快，点赞']
['很好啊，质量很好，上班几年了，有空时多学习一下！'],['帮朋友买的，速度很快，赞一个！']
['很好啊，质量很好，上班几年了，有空时多学习一下！'],['宝贝很不错，强烈推荐。']
['很好啊，质量很好，上班几年了，有空时多学习一下！'],['经常在京东上购物，价格实惠，物流超快，赞一下！']
['很好啊，质量很好，上班几年了，有空时多学习一下！'],['一直在京东买东西的，很不错']
['很好啊，质量很好，上班几年了，有空时多学习一下！'],['物流很快，正品行货，满意！']
['很好啊，质量很好，上班几年了，有空时多学习一下！'],['产品质量不错，赶到搞活动的时候买的，优惠力度比较大，价格挺便宜的，值得推荐。']
['很好啊，质量很好，上班几年了，有空时多学习一下！'],['质量不错，价格合理，京东值得信赖。']
['封皮颜色看起来怪怪的，喜欢原有的第七版的设计'],['封皮颜色看起来怪怪的，喜欢原有的第七版的设计']
['封皮颜色看起来怪怪的，喜欢原有的第七版的设计'],['喜欢亢霖老师的书']
['封皮颜色看起来怪怪的，喜欢原有的第七版的设计'],['一直喜欢有视频的书']
['封皮颜色看起来怪怪的，喜欢原有的第七版的设计'],['书依然很好，包装依然只用塑料袋装…']
['封皮颜色看起来怪怪的，喜欢原有的第七版的设计'],['书有几页破损，纸张有点薄']
['封皮颜色看起来怪怪的，喜欢原有的第七版的设计'],['封面不错，里面的印刷暗淡了一些。']
['封皮颜色看起来怪怪的，喜欢原有的第七版的设计'],['不错，是新版']
['封皮颜色看起来怪怪的，喜欢原有的第七版的设计'],['比哈利波特可能还要好看一点 不过稍微更加低龄一些']
['封皮颜色看起来怪怪的，喜欢原有的第七版的设计'],['还行，有点贵了，没多少内容']
['封皮颜色看起来怪怪的，喜欢原有的第七版的设计'],['和语文教科书是同步的，平时做做挺不错的，增加点知识量']
['封皮颜色看起来怪怪的，喜欢原有的第七版的设计'],['有点老旧了2011版的']
['封皮颜色看起来怪怪的，喜欢原有的第七版的设计'],['正版没味道，小孩非常喜欢看大赞很']
['封皮颜色看起来怪怪的，喜欢原有的第七版的设计'],['很好的开本，快递给力']
['封皮颜色看起来怪怪的，喜欢原有的第七版的设计'],['内容不错，等细看中，好好学习']
['封皮颜色看起来怪怪的，喜欢原有的第七版的设计'],['不错，开阔一下视野，包装简陋']
['封皮颜色看起来怪怪的，喜欢原有的第七版的设计'],['很好看的书']
['封皮颜色看起来怪怪的，喜欢原有的第七版的设计'],['不好看，内容太差']
['封皮颜色看起来怪怪的，喜欢原有的第七版的设计'],['不错的书籍']
['封皮颜色看起来怪怪的，喜欢原有的第七版的设计'],['还挺不错的 值得一读']
['封皮颜色看起来怪怪的，喜欢原有的第七版的设计'],['非常实用，努力学习']
['像字典那么大，内容比较全面。'],['像字典那么大，内容比较全面。']
['像字典那么大，内容比较全面。'],['分类比较全，字体大小印刷都还行']
['像字典那么大，内容比较全面。'],['非常好的教材。内容丰富多彩，']
['像字典那么大，内容比较全面。'],['内容很轻松，很好?']
['像字典那么大，内容比较全面。'],['有参考价值。翻译的比较生硬。']
['像字典那么大，内容比较全面。'],['很不错的书，这类书比较少。']
['像字典那么大，内容比较全面。'],['书挺不错的，配合R语言讲']
['像字典那么大，内容比较全面。'],['不错呢，有光盘供学习的。']
['像字典那么大，内容比较全面。'],['比书店便宜。']
['像字典那么大，内容比较全面。'],['图纸很多，表格挺多，参数挺多，质量也可以。']
['像字典那么大，内容比较全面。'],['挺好的，印刷质量不错，内容参考价值高。']
['像字典那么大，内容比较全面。'],['书编写很好，方便查询，还包括大事记，开阔视野']
['像字典那么大，内容比较全面。'],['不错，经典书目。    值得买。']
['像字典那么大，内容比较全面。'],['书很厚实，很重，还没看']
['像字典那么大，内容比较全面。'],['还行，有点贵了，没多少内容']
['像字典那么大，内容比较全面。'],['书非常不错，东西多又好玩，一切都不错。']
['像字典那么大，内容比较全面。'],['内容全面，易懂，孩子说对高中学习有帮助。']
['像字典那么大，内容比较全面。'],['理论性强，但是作为资料保存起来也很不错']
['像字典那么大，内容比较全面。'],['内容涵盖很全，职称英语考试中很好用，值得']
['像字典那么大，内容比较全面。'],['国学经典，必读书目，很好。']
